Neyyattinkara, Thiruvananthapuram, 21, KL-19, KL-20
Kattakkada, Thiruvananthapuram, 13, KL-74
Nedumangad, Thiruvananthapuram, 25, KL-21
Thiruvananthapuram, Thiruvananthapuram, 31, KL-01, KL-15, KL-22
Chirayinkeezhu (HO: Attingal), Thiruvananthapuram, 17, KL-16
Varkala, Thiruvananthapuram, 12, KL-81
Kollam, Kollam, 31, KL-02
Kunnathoor (HO: Sasthamcotta), Kollam, 07, KL-61
Karunagappally, Kollam, 17, KL-23
Kottarakkara, Kollam, 27, KL-24, KL-82
Punalur, Kollam, 15, KL-25
Pathanapuram, Kollam, 08, KL-80
Adoor, Pathanamthitta, 14, KL-26
Konni, Pathanamthitta, 14, KL-83
Kozhencherry (HO: Pathanamthitta), Pathanamthitta, 11, KL-03
Ranni, Pathanamthitta, 10, KL-62
Mallappally, Pathanamthitta, 09, KL-28
Thiruvalla, Pathanamthitta, 12, KL-27
Chenganoor, Alappuzha, 11, KL-30
Mavelikkara, Alappuzha, 15, KL-31
Karthikappally (HO: Haripad), Alappuzha, 18, KL-29
Kuttanad (HO: Mankombu), Alappuzha, 14, KL-66
Ambalappuzha (HO: Alappuzha), Alappuzha, 13, KL-04
Cherthala, Alappuzha, 20, KL-32
Changanasserry, Kottayam, 15, KL-33
Kottayam, Kottayam, 26, KL-05
Vaikom, Kottayam, 18, KL-36, KL-67
Meenachil (HO: Palai), Kottayam, 28, KL-35, KL-67
Kanjirappally, Kottayam, 13, KL-34
Peermade, Idukki, 10, KL-37
Udumbanchola (HO: Nedumkandam), Idukki, 18, KL-69
Idukki (HO: Painavu), Idukki, 9, KL-06
Thodupuzha, Idukki, 17, KL-38
Devikulam, Idukki, 13, KL-68
Kothamangalam, Ernakulam, 12, KL-44
Muvattupuzha, Ernakulam, 18, KL-17
Kunnathunad (HO: Perumbavoor), Ernakulam, 23, KL-40, KL-17
Kanayannur (HO: Eranakulam), Ernakulam, 20, KL-07, KL-39
Kochi (HO: Fort Kochi), Ernakulam, 15, KL-43, KL-42
North Paravur, Ernakulam, 13, KL-42
Aluva, Ernakulam, 16, KL-41, KL-63
Chalakudy, Thrissur, 31, KL-64, KL-45
Mukundapuram (HO: Irinjalakuda), Thrissur, 29, KL-45
Kodungallur, Thrissur, 12, KL-47
Thrissur, Thrissur, 41, KL-08
Chavakkad, Thrissur, 17, KL-46, KL-75
Kunnamkulam, Thrissur, 14, KL-46, KL-48
Thalapilly (HO: Wadakkancheri), Thrissur, 22, KL-48
Alathoor, Palakkad, 30, KL-49
Chittur, Palakkad, 30, KL-70
Palakkad, Palakkad, 30, KL-09
Pattambi, Palakkad, 18, KL-52
Ottappalam, Palakkad, 41, KL-51
Mannarkkad, Palakkad, 19, KL-50
Attappady (HO: Agali), Palakkad, 6, KL-50
Perinthalmanna, Malappuram, 24, KL-53
Nilambur, Malappuram, 19, KL-71
Eranad (HO: Manjeri), Malappuram, 23, KL-10
Kondotty, Malappuram, 12, KL-84
Ponnani, Malappuram, 11, KL-54
Tirur, Malappuram, 30, KL-55
Tirurangadi, Malappuram, 17, KL-65
Kozhikode, Kozhikode, 25, KL-11, KL-76, KL-85
Thamarassery, Kozhikode, 20, KL-57, KL-76
Koyilandy, Kozhikode, 34, KL-56, KL-77
Vatakara, Kozhikode, 28, KL-18, KL-77
Vythiri (HO: Kalpetta), Wayanad, 18, KL-12
Sulthan Bathery, Wayanad, 15, KL-73
Mananthavady, Wayanad, 16, KL-72
Thalassery, Kannur, 34, KL-58
Iritty, Kannur, 20, KL-78
Kannur, Kannur, 28, KL-13
Taliparamba, Kannur, 28, KL-59
Payyanur, Kannur, 22, KL-86
Hosdurg (HO: Kanhangad), Kasaragod, 31, KL-60
Vellarikund, Kasaragod, 15, KL-79
Kasaragod, Kasaragod, 34, KL-14
Manjeshwaram (HO: Uppala), Kasaragod, 48, KL-14
